"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"521.2.1",521,2,1,43,0,575,8.15,8,0,2,50,30,0
"521.2.2",521,2,2,43,0,720,8.18,4,3,4,42,19,0
"521.2.3",521,2,3,43,0,148,9.07,2,5,3,46,35,1
"521.2.4",521,2,4,43,0,113,8.04,12,1,5,38,17,0
"521.3.1",521,3,1,43,0,575,8.15,10,5,3,54,34,1
"521.3.2",521,3,2,43,0,720,8.18,10,2,7,42,11,0
"521.3.3",521,3,3,43,0,148,9.07,8,4,9,46,6,0
"521.3.4",521,3,4,43,0,113,8.04,3,2,2,42,8,0
"521.4.1",521,4,1,43,0,575,8.15,14,4,2,43,22,0
"521.4.2",521,4,2,43,0,720,8.18,14,3,2,37,24,0
"521.4.3",521,4,3,43,0,148,9.07,10,2,8,43,37,1
"521.4.4",521,4,4,43,0,113,8.04,10,0,8,43,6,0
"521.5.1",521,5,1,43,0,575,8.15,7,6,4,49,8,0
"521.5.2",521,5,2,43,0,720,8.18,9,4,2,56,17,0
"521.5.3",521,5,3,43,0,148,9.07,14,4,5,30,27,0
"521.5.4",521,5,4,43,0,113,8.04,12,2,7,55,16,1
"521.6.1",521,6,1,43,0,575,8.15,3,4,4,34,22,1
"521.6.2",521,6,2,43,0,720,8.18,0,1,8,51,18,0
"521.6.3",521,6,3,43,0,148,9.07,12,1,7,35,15,0
"521.6.4",521,6,4,43,0,113,8.04,12,3,8,47,29,0
"521.7.1",521,7,1,43,0,575,8.15,5,6,4,32,34,1
"521.7.2",521,7,2,43,0,720,8.18,5,2,4,42,22,0
"521.7.3",521,7,3,43,0,148,9.07,2,3,1,34,6,0
"521.7.4",521,7,4,43,0,113,8.04,9,3,8,51,5,0
"521.8.1",521,8,1,43,0,575,8.15,4,6,4,54,6,0
"521.8.2",521,8,2,43,0,720,8.18,8,5,2,34,5,0
"521.8.3",521,8,3,43,0,148,9.07,10,2,5,57,38,0
"521.8.4",521,8,4,43,0,113,8.04,10,3,8,40,28,1
"521.9.1",521,9,1,43,0,575,8.15,6,5,5,37,14,0
"521.9.2",521,9,2,43,0,720,8.18,9,6,8,54,12,1
"521.9.3",521,9,3,43,0,148,9.07,5,6,6,32,18,0
"521.9.4",521,9,4,43,0,113,8.04,0,5,2,33,23,0
"521.10.1",521,10,1,43,0,575,8.15,5,2,4,41,26,1
"521.10.2",521,10,2,43,0,720,8.18,11,1,3,41,11,0
"521.10.3",521,10,3,43,0,148,9.07,5,1,3,40,18,0
"521.10.4",521,10,4,43,0,113,8.04,0,6,9,49,37,0
"521.11.1",521,11,1,43,0,575,8.15,2,3,4,36,13,0
"521.11.2",521,11,2,43,0,720,8.18,3,3,7,42,10,0
"521.11.3",521,11,3,43,0,148,9.07,10,6,3,57,33,1
"521.11.4",521,11,4,43,0,113,8.04,0,1,9,44,25,0
"521.12.1",521,12,1,43,0,575,8.15,11,5,5,37,7,0
"521.12.2",521,12,2,43,0,720,8.18,8,3,1,43,37,1
"521.12.3",521,12,3,43,0,148,9.07,11,0,7,59,5,0
"521.12.4",521,12,4,43,0,113,8.04,2,0,2,30,38,0
"522.1.1",522,1,1,29,0,575,8.15,1,6,7,37,5,0
"522.1.2",522,1,2,29,0,720,8.18,3,2,7,35,31,1
"522.1.3",522,1,3,29,0,148,9.07,14,3,8,57,36,0
"522.1.4",522,1,4,29,0,113,8.04,2,3,3,57,17,0
"522.2.1",522,2,1,29,0,575,8.15,8,0,2,50,30,0
"522.2.2",522,2,2,29,0,720,8.18,4,3,4,42,19,0
"522.2.3",522,2,3,29,0,148,9.07,2,5,3,46,35,1
"522.2.4",522,2,4,29,0,113,8.04,12,1,5,38,17,0
"522.3.1",522,3,1,29,0,575,8.15,10,5,3,54,34,1
"522.3.2",522,3,2,29,0,720,8.18,10,2,7,42,11,0
"522.3.3",522,3,3,29,0,148,9.07,8,4,9,46,6,0
"522.3.4",522,3,4,29,0,113,8.04,3,2,2,42,8,0
"522.4.1",522,4,1,29,0,575,8.15,14,4,2,43,22,0
"522.4.2",522,4,2,29,0,720,8.18,14,3,2,37,24,0
"522.4.3",522,4,3,29,0,148,9.07,10,2,8,43,37,1
"522.4.4",522,4,4,29,0,113,8.04,10,0,8,43,6,0
"522.5.1",522,5,1,29,0,575,8.15,7,6,4,49,8,0
"522.5.2",522,5,2,29,0,720,8.18,9,4,2,56,17,0
"522.5.3",522,5,3,29,0,148,9.07,14,4,5,30,27,0
"522.5.4",522,5,4,29,0,113,8.04,12,2,7,55,16,1
"522.6.1",522,6,1,29,0,575,8.15,3,4,4,34,22,1
"522.6.2",522,6,2,29,0,720,8.18,0,1,8,51,18,0
"522.6.3",522,6,3,29,0,148,9.07,12,1,7,35,15,0
"522.6.4",522,6,4,29,0,113,8.04,12,3,8,47,29,0
"522.7.1",522,7,1,29,0,575,8.15,5,6,4,32,34,1
"522.7.2",522,7,2,29,0,720,8.18,5,2,4,42,22,0
"522.7.3",522,7,3,29,0,148,9.07,2,3,1,34,6,0
"522.7.4",522,7,4,29,0,113,8.04,9,3,8,51,5,0
"522.8.1",522,8,1,29,0,575,8.15,4,6,4,54,6,0
"522.8.2",522,8,2,29,0,720,8.18,8,5,2,34,5,0
"522.8.3",522,8,3,29,0,148,9.07,10,2,5,57,38,0
"522.8.4",522,8,4,29,0,113,8.04,10,3,8,40,28,1
"522.9.1",522,9,1,29,0,575,8.15,6,5,5,37,14,0
"522.9.2",522,9,2,29,0,720,8.18,9,6,8,54,12,1
"522.9.3",522,9,3,29,0,148,9.07,5,6,6,32,18,0
"522.9.4",522,9,4,29,0,113,8.04,0,5,2,33,23,0
"522.10.1",522,10,1,29,0,575,8.15,5,2,4,41,26,1
"522.10.2",522,10,2,29,0,720,8.18,11,1,3,41,11,0
"522.10.3",522,10,3,29,0,148,9.07,5,1,3,40,18,0
"522.10.4",522,10,4,29,0,113,8.04,0,6,9,49,37,0
"522.11.1",522,11,1,29,0,575,8.15,2,3,4,36,13,0
"522.11.2",522,11,2,29,0,720,8.18,3,3,7,42,10,0
"522.11.3",522,11,3,29,0,148,9.07,10,6,3,57,33,1
"522.11.4",522,11,4,29,0,113,8.04,0,1,9,44,25,0
"522.12.1",522,12,1,29,0,575,8.15,11,5,5,37,7,0
"522.12.2",522,12,2,29,0,720,8.18,8,3,1,43,37,1
"522.12.3",522,12,3,29,0,148,9.07,11,0,7,59,5,0
"522.12.4",522,12,4,29,0,113,8.04,2,0,2,30,38,0
"523.1.1",523,1,1,31,1,575,8.15,1,6,7,37,5,0
"523.1.2",523,1,2,31,1,720,8.18,3,2,7,35,31,1
"523.1.3",523,1,3,31,1,148,9.07,14,3,8,57,36,0
"523.1.4",523,1,4,31,1,113,8.04,2,3,3,57,17,0
"523.2.1",523,2,1,31,1,575,8.15,8,0,2,50,30,0
"523.2.2",523,2,2,31,1,720,8.18,4,3,4,42,19,0
"523.2.3",523,2,3,31,1,148,9.07,2,5,3,46,35,1
"523.2.4",523,2,4,31,1,113,8.04,12,1,5,38,17,0
"523.3.1",523,3,1,31,1,575,8.15,10,5,3,54,34,1
"523.3.2",523,3,2,31,1,720,8.18,10,2,7,42,11,0
"523.3.3",523,3,3,31,1,148,9.07,8,4,9,46,6,0
"523.3.4",523,3,4,31,1,113,8.04,3,2,2,42,8,0
"523.4.1",523,4,1,31,1,575,8.15,14,4,2,43,22,0
"523.4.2",523,4,2,31,1,720,8.18,14,3,2,37,24,0
"523.4.3",523,4,3,31,1,148,9.07,10,2,8,43,37,1
"523.4.4",523,4,4,31,1,113,8.04,10,0,8,43,6,0
"523.5.1",523,5,1,31,1,575,8.15,7,6,4,49,8,0
"523.5.2",523,5,2,31,1,720,8.18,9,4,2,56,17,0
"523.5.3",523,5,3,31,1,148,9.07,14,4,5,30,27,0
"523.5.4",523,5,4,31,1,113,8.04,12,2,7,55,16,1
"523.6.1",523,6,1,31,1,575,8.15,3,4,4,34,22,1
"523.6.2",523,6,2,31,1,720,8.18,0,1,8,51,18,0
"523.6.3",523,6,3,31,1,148,9.07,12,1,7,35,15,0
"523.6.4",523,6,4,31,1,113,8.04,12,3,8,47,29,0
"523.7.1",523,7,1,31,1,575,8.15,5,6,4,32,34,1
"523.7.2",523,7,2,31,1,720,8.18,5,2,4,42,22,0
"523.7.3",523,7,3,31,1,148,9.07,2,3,1,34,6,0
"523.7.4",523,7,4,31,1,113,8.04,9,3,8,51,5,0
"523.8.1",523,8,1,31,1,575,8.15,4,6,4,54,6,0
"523.8.2",523,8,2,31,1,720,8.18,8,5,2,34,5,0
"523.8.3",523,8,3,31,1,148,9.07,10,2,5,57,38,0
"523.8.4",523,8,4,31,1,113,8.04,10,3,8,40,28,1
"523.9.1",523,9,1,31,1,575,8.15,6,5,5,37,14,0
"523.9.2",523,9,2,31,1,720,8.18,9,6,8,54,12,1
"523.9.3",523,9,3,31,1,148,9.07,5,6,6,32,18,0
"523.9.4",523,9,4,31,1,113,8.04,0,5,2,33,23,0
"523.10.1",523,10,1,31,1,575,8.15,5,2,4,41,26,1
"523.10.2",523,10,2,31,1,720,8.18,11,1,3,41,11,0
"523.10.3",523,10,3,31,1,148,9.07,5,1,3,40,18,0
"523.10.4",523,10,4,31,1,113,8.04,0,6,9,49,37,0
"523.11.1",523,11,1,31,1,575,8.15,2,3,4,36,13,0
"523.11.2",523,11,2,31,1,720,8.18,3,3,7,42,10,0
"523.11.3",523,11,3,31,1,148,9.07,10,6,3,57,33,1
"523.11.4",523,11,4,31,1,113,8.04,0,1,9,44,25,0
"523.12.1",523,12,1,31,1,575,8.15,11,5,5,37,7,0
"523.12.2",523,12,2,31,1,720,8.18,8,3,1,43,37,1
"523.12.3",523,12,3,31,1,148,9.07,11,0,7,59,5,0
"523.12.4",523,12,4,31,1,113,8.04,2,0,2,30,38,0
"524.1.1",524,1,1,48,1,575,8.15,1,6,7,37,5,0
"524.1.2",524,1,2,48,1,720,8.18,3,2,7,35,31,1
"524.1.3",524,1,3,48,1,148,9.07,14,3,8,57,36,0
"524.1.4",524,1,4,48,1,113,8.04,2,3,3,57,17,0
"524.2.1",524,2,1,48,1,575,8.15,8,0,2,50,30,0
"524.2.2",524,2,2,48,1,720,8.18,4,3,4,42,19,0
"524.2.3",524,2,3,48,1,148,9.07,2,5,3,46,35,1
"524.2.4",524,2,4,48,1,113,8.04,12,1,5,38,17,0
"524.3.1",524,3,1,48,1,575,8.15,10,5,3,54,34,1
"524.3.2",524,3,2,48,1,720,8.18,10,2,7,42,11,0
"524.3.3",524,3,3,48,1,148,9.07,8,4,9,46,6,0
"524.3.4",524,3,4,48,1,113,8.04,3,2,2,42,8,0
"524.4.1",524,4,1,48,1,575,8.15,14,4,2,43,22,0
"524.4.2",524,4,2,48,1,720,8.18,14,3,2,37,24,0
"524.4.3",524,4,3,48,1,148,9.07,10,2,8,43,37,1
"524.4.4",524,4,4,48,1,113,8.04,10,0,8,43,6,0
"524.5.1",524,5,1,48,1,575,8.15,7,6,4,49,8,0
"524.5.2",524,5,2,48,1,720,8.18,9,4,2,56,17,0
"524.5.3",524,5,3,48,1,148,9.07,14,4,5,30,27,0
"524.5.4",524,5,4,48,1,113,8.04,12,2,7,55,16,1
"524.6.1",524,6,1,48,1,575,8.15,3,4,4,34,22,1
"524.6.2",524,6,2,48,1,720,8.18,0,1,8,51,18,0
"524.6.3",524,6,3,48,1,148,9.07,12,1,7,35,15,0
"524.6.4",524,6,4,48,1,113,8.04,12,3,8,47,29,0
"524.7.1",524,7,1,48,1,575,8.15,5,6,4,32,34,1
"524.7.2",524,7,2,48,1,720,8.18,5,2,4,42,22,0
"524.7.3",524,7,3,48,1,148,9.07,2,3,1,34,6,0
"524.7.4",524,7,4,48,1,113,8.04,9,3,8,51,5,0
"524.8.1",524,8,1,48,1,575,8.15,4,6,4,54,6,0
"524.8.2",524,8,2,48,1,720,8.18,8,5,2,34,5,0
"524.8.3",524,8,3,48,1,148,9.07,10,2,5,57,38,0
"524.8.4",524,8,4,48,1,113,8.04,10,3,8,40,28,1
"524.9.1",524,9,1,48,1,575,8.15,6,5,5,37,14,0
"524.9.2",524,9,2,48,1,720,8.18,9,6,8,54,12,1
"524.9.3",524,9,3,48,1,148,9.07,5,6,6,32,18,0
"524.9.4",524,9,4,48,1,113,8.04,0,5,2,33,23,0
"524.10.1",524,10,1,48,1,575,8.15,5,2,4,41,26,1
"524.10.2",524,10,2,48,1,720,8.18,11,1,3,41,11,0
"524.10.3",524,10,3,48,1,148,9.07,5,1,3,40,18,0
"524.10.4",524,10,4,48,1,113,8.04,0,6,9,49,37,0
"524.11.1",524,11,1,48,1,575,8.15,2,3,4,36,13,0
"524.11.2",524,11,2,48,1,720,8.18,3,3,7,42,10,0
"524.11.3",524,11,3,48,1,148,9.07,10,6,3,57,33,1
"524.11.4",524,11,4,48,1,113,8.04,0,1,9,44,25,0
"524.12.1",524,12,1,48,1,575,8.15,11,5,5,37,7,0
"524.12.2",524,12,2,48,1,720,8.18,8,3,1,43,37,1
"524.12.3",524,12,3,48,1,148,9.07,11,0,7,59,5,0
"524.12.4",524,12,4,48,1,113,8.04,2,0,2,30,38,0
"525.1.1",525,1,1,30,1,575,8.15,1,6,7,37,5,0
"525.1.2",525,1,2,30,1,720,8.18,3,2,7,35,31,1
"525.1.3",525,1,3,30,1,148,9.07,14,3,8,57,36,0
"525.1.4",525,1,4,30,1,113,8.04,2,3,3,57,17,0
"525.2.1",525,2,1,30,1,575,8.15,8,0,2,50,30,0
"525.2.2",525,2,2,30,1,720,8.18,4,3,4,42,19,0
"525.2.3",525,2,3,30,1,148,9.07,2,5,3,46,35,1
"525.2.4",525,2,4,30,1,113,8.04,12,1,5,38,17,0
"525.3.1",525,3,1,30,1,575,8.15,10,5,3,54,34,1
"525.3.2",525,3,2,30,1,720,8.18,10,2,7,42,11,0
"525.3.3",525,3,3,30,1,148,9.07,8,4,9,46,6,0
"525.3.4",525,3,4,30,1,113,8.04,3,2,2,42,8,0
"525.4.1",525,4,1,30,1,575,8.15,14,4,2,43,22,0
"525.4.2",525,4,2,30,1,720,8.18,14,3,2,37,24,0
"525.4.3",525,4,3,30,1,148,9.07,10,2,8,43,37,1
"525.4.4",525,4,4,30,1,113,8.04,10,0,8,43,6,0
"525.5.1",525,5,1,30,1,575,8.15,7,6,4,49,8,0
"525.5.2",525,5,2,30,1,720,8.18,9,4,2,56,17,0
"525.5.3",525,5,3,30,1,148,9.07,14,4,5,30,27,0
"525.5.4",525,5,4,30,1,113,8.04,12,2,7,55,16,1
"525.6.1",525,6,1,30,1,575,8.15,3,4,4,34,22,1
"525.6.2",525,6,2,30,1,720,8.18,0,1,8,51,18,0
"525.6.3",525,6,3,30,1,148,9.07,12,1,7,35,15,0
"525.6.4",525,6,4,30,1,113,8.04,12,3,8,47,29,0
"525.7.1",525,7,1,30,1,575,8.15,5,6,4,32,34,0
"525.7.2",525,7,2,30,1,720,8.18,5,2,4,42,22,0
"525.7.3",525,7,3,30,1,148,9.07,2,3,1,34,6,0
"525.7.4",525,7,4,30,1,113,8.04,9,3,8,51,5,1
"525.8.1",525,8,1,30,1,575,8.15,4,6,4,54,6,0
"525.8.2",525,8,2,30,1,720,8.18,8,5,2,34,5,0
"525.8.3",525,8,3,30,1,148,9.07,10,2,5,57,38,0
"525.8.4",525,8,4,30,1,113,8.04,10,3,8,40,28,1
"525.9.1",525,9,1,30,1,575,8.15,6,5,5,37,14,0
"525.9.2",525,9,2,30,1,720,8.18,9,6,8,54,12,1
"525.9.3",525,9,3,30,1,148,9.07,5,6,6,32,18,0
"525.9.4",525,9,4,30,1,113,8.04,0,5,2,33,23,0
"525.10.1",525,10,1,30,1,575,8.15,5,2,4,41,26,1
"525.10.2",525,10,2,30,1,720,8.18,11,1,3,41,11,0
"525.10.3",525,10,3,30,1,148,9.07,5,1,3,40,18,0
"525.10.4",525,10,4,30,1,113,8.04,0,6,9,49,37,0
"525.11.1",525,11,1,30,1,575,8.15,2,3,4,36,13,0
"525.11.2",525,11,2,30,1,720,8.18,3,3,7,42,10,0
"525.11.3",525,11,3,30,1,148,9.07,10,6,3,57,33,1
"525.11.4",525,11,4,30,1,113,8.04,0,1,9,44,25,0
"525.12.1",525,12,1,30,1,575,8.15,11,5,5,37,7,0
"525.12.2",525,12,2,30,1,720,8.18,8,3,1,43,37,1
"525.12.3",525,12,3,30,1,148,9.07,11,0,7,59,5,0
"525.12.4",525,12,4,30,1,113,8.04,2,0,2,30,38,0
"526.1.1",526,1,1,47,1,575,8.15,1,6,7,37,5,0
"526.1.2",526,1,2,47,1,720,8.18,3,2,7,35,31,1
"526.1.3",526,1,3,47,1,148,9.07,14,3,8,57,36,0
"526.1.4",526,1,4,47,1,113,8.04,2,3,3,57,17,0
"526.2.1",526,2,1,47,1,575,8.15,8,0,2,50,30,0
"526.2.2",526,2,2,47,1,720,8.18,4,3,4,42,19,0
"526.2.3",526,2,3,47,1,148,9.07,2,5,3,46,35,1
"526.2.4",526,2,4,47,1,113,8.04,12,1,5,38,17,0
"526.3.1",526,3,1,47,1,575,8.15,10,5,3,54,34,1
"526.3.2",526,3,2,47,1,720,8.18,10,2,7,42,11,0
"526.3.3",526,3,3,47,1,148,9.07,8,4,9,46,6,0
"526.3.4",526,3,4,47,1,113,8.04,3,2,2,42,8,0
"526.4.1",526,4,1,47,1,575,8.15,14,4,2,43,22,0
"526.4.2",526,4,2,47,1,720,8.18,14,3,2,37,24,0
"526.4.3",526,4,3,47,1,148,9.07,10,2,8,43,37,1
"526.4.4",526,4,4,47,1,113,8.04,10,0,8,43,6,0
"526.5.1",526,5,1,47,1,575,8.15,7,6,4,49,8,0
"526.5.2",526,5,2,47,1,720,8.18,9,4,2,56,17,0
"526.5.3",526,5,3,47,1,148,9.07,14,4,5,30,27,0
"526.5.4",526,5,4,47,1,113,8.04,12,2,7,55,16,1
"526.6.1",526,6,1,47,1,575,8.15,3,4,4,34,22,1
"526.6.2",526,6,2,47,1,720,8.18,0,1,8,51,18,0
"526.6.3",526,6,3,47,1,148,9.07,12,1,7,35,15,0
"526.6.4",526,6,4,47,1,113,8.04,12,3,8,47,29,0
"526.7.1",526,7,1,47,1,575,8.15,5,6,4,32,34,0
"526.7.2",526,7,2,47,1,720,8.18,5,2,4,42,22,0
"526.7.3",526,7,3,47,1,148,9.07,2,3,1,34,6,0
"526.7.4",526,7,4,47,1,113,8.04,9,3,8,51,5,1
"526.8.1",526,8,1,47,1,575,8.15,4,6,4,54,6,0
"526.8.2",526,8,2,47,1,720,8.18,8,5,2,34,5,0
"526.8.3",526,8,3,47,1,148,9.07,10,2,5,57,38,0
"526.8.4",526,8,4,47,1,113,8.04,10,3,8,40,28,1
"526.9.1",526,9,1,47,1,575,8.15,6,5,5,37,14,0
"526.9.2",526,9,2,47,1,720,8.18,9,6,8,54,12,1
"526.9.3",526,9,3,47,1,148,9.07,5,6,6,32,18,0
"526.9.4",526,9,4,47,1,113,8.04,0,5,2,33,23,0
"526.10.1",526,10,1,47,1,575,8.15,5,2,4,41,26,1
"526.10.2",526,10,2,47,1,720,8.18,11,1,3,41,11,0
"526.10.3",526,10,3,47,1,148,9.07,5,1,3,40,18,0
"526.10.4",526,10,4,47,1,113,8.04,0,6,9,49,37,0
"526.11.1",526,11,1,47,1,575,8.15,2,3,4,36,13,0
"526.11.2",526,11,2,47,1,720,8.18,3,3,7,42,10,0
"526.11.3",526,11,3,47,1,148,9.07,10,6,3,57,33,1
"526.11.4",526,11,4,47,1,113,8.04,0,1,9,44,25,0
"526.12.1",526,12,1,47,1,575,8.15,11,5,5,37,7,0
"526.12.2",526,12,2,47,1,720,8.18,8,3,1,43,37,1
"526.12.3",526,12,3,47,1,148,9.07,11,0,7,59,5,0
"526.12.4",526,12,4,47,1,113,8.04,2,0,2,30,38,0
"527.1.1",527,1,1,28,1,575,8.15,1,6,7,37,5,0
"527.1.2",527,1,2,28,1,720,8.18,3,2,7,35,31,1
"527.1.3",527,1,3,28,1,148,9.07,14,3,8,57,36,0
"527.1.4",527,1,4,28,1,113,8.04,2,3,3,57,17,0
"527.2.1",527,2,1,28,1,575,8.15,8,0,2,50,30,0
"527.2.2",527,2,2,28,1,720,8.18,4,3,4,42,19,0
"527.2.3",527,2,3,28,1,148,9.07,2,5,3,46,35,1
"527.2.4",527,2,4,28,1,113,8.04,12,1,5,38,17,0
"527.3.1",527,3,1,28,1,575,8.15,10,5,3,54,34,1
"527.3.2",527,3,2,28,1,720,8.18,10,2,7,42,11,0
"527.3.3",527,3,3,28,1,148,9.07,8,4,9,46,6,0
"527.3.4",527,3,4,28,1,113,8.04,3,2,2,42,8,0
"527.4.1",527,4,1,28,1,575,8.15,14,4,2,43,22,0
"527.4.2",527,4,2,28,1,720,8.18,14,3,2,37,24,0
"527.4.3",527,4,3,28,1,148,9.07,10,2,8,43,37,1
"527.4.4",527,4,4,28,1,113,8.04,10,0,8,43,6,0
"527.5.1",527,5,1,28,1,575,8.15,7,6,4,49,8,0
"527.5.2",527,5,2,28,1,720,8.18,9,4,2,56,17,0
"527.5.3",527,5,3,28,1,148,9.07,14,4,5,30,27,0
"527.5.4",527,5,4,28,1,113,8.04,12,2,7,55,16,1
"527.6.1",527,6,1,28,1,575,8.15,3,4,4,34,22,1
"527.6.2",527,6,2,28,1,720,8.18,0,1,8,51,18,0
"527.6.3",527,6,3,28,1,148,9.07,12,1,7,35,15,0
"527.6.4",527,6,4,28,1,113,8.04,12,3,8,47,29,0
"527.7.1",527,7,1,28,1,575,8.15,5,6,4,32,34,1
"527.7.2",527,7,2,28,1,720,8.18,5,2,4,42,22,0
"527.7.3",527,7,3,28,1,148,9.07,2,3,1,34,6,0
"527.7.4",527,7,4,28,1,113,8.04,9,3,8,51,5,0
"527.8.1",527,8,1,28,1,575,8.15,4,6,4,54,6,0
"527.8.2",527,8,2,28,1,720,8.18,8,5,2,34,5,0
"527.8.3",527,8,3,28,1,148,9.07,10,2,5,57,38,0
"527.8.4",527,8,4,28,1,113,8.04,10,3,8,40,28,1
"527.9.1",527,9,1,28,1,575,8.15,6,5,5,37,14,0
"527.9.2",527,9,2,28,1,720,8.18,9,6,8,54,12,1
"527.9.3",527,9,3,28,1,148,9.07,5,6,6,32,18,0
"527.9.4",527,9,4,28,1,113,8.04,0,5,2,33,23,0
"527.10.1",527,10,1,28,1,575,8.15,5,2,4,41,26,1
"527.10.2",527,10,2,28,1,720,8.18,11,1,3,41,11,0
"527.10.3",527,10,3,28,1,148,9.07,5,1,3,40,18,0
"527.10.4",527,10,4,28,1,113,8.04,0,6,9,49,37,0
"527.11.1",527,11,1,28,1,575,8.15,2,3,4,36,13,0
"527.11.2",527,11,2,28,1,720,8.18,3,3,7,42,10,0
"527.11.3",527,11,3,28,1,148,9.07,10,6,3,57,33,1
"527.11.4",527,11,4,28,1,113,8.04,0,1,9,44,25,0
"527.12.1",527,12,1,28,1,575,8.15,11,5,5,37,7,0
"527.12.2",527,12,2,28,1,720,8.18,8,3,1,43,37,1
"527.12.3",527,12,3,28,1,148,9.07,11,0,7,59,5,0
"527.12.4",527,12,4,28,1,113,8.04,2,0,2,30,38,0
"528.1.1",528,1,1,30,1,575,8.15,1,6,7,37,5,0
"528.1.2",528,1,2,30,1,720,8.18,3,2,7,35,31,1
"528.1.3",528,1,3,30,1,148,9.07,14,3,8,57,36,0
"528.1.4",528,1,4,30,1,113,8.04,2,3,3,57,17,0
"528.2.1",528,2,1,30,1,575,8.15,8,0,2,50,30,0
"528.2.2",528,2,2,30,1,720,8.18,4,3,4,42,19,0
"528.2.3",528,2,3,30,1,148,9.07,2,5,3,46,35,1
"528.2.4",528,2,4,30,1,113,8.04,12,1,5,38,17,0
"528.3.1",528,3,1,30,1,575,8.15,10,5,3,54,34,1
"528.3.2",528,3,2,30,1,720,8.18,10,2,7,42,11,0
"528.3.3",528,3,3,30,1,148,9.07,8,4,9,46,6,0
"528.3.4",528,3,4,30,1,113,8.04,3,2,2,42,8,0
"528.4.1",528,4,1,30,1,575,8.15,14,4,2,43,22,0
"528.4.2",528,4,2,30,1,720,8.18,14,3,2,37,24,0
"528.4.3",528,4,3,30,1,148,9.07,10,2,8,43,37,1
"528.4.4",528,4,4,30,1,113,8.04,10,0,8,43,6,0
"528.5.1",528,5,1,30,1,575,8.15,7,6,4,49,8,0
"528.5.2",528,5,2,30,1,720,8.18,9,4,2,56,17,0
"528.5.3",528,5,3,30,1,148,9.07,14,4,5,30,27,0
"528.5.4",528,5,4,30,1,113,8.04,12,2,7,55,16,1
"528.6.1",528,6,1,30,1,575,8.15,3,4,4,34,22,1
"528.6.2",528,6,2,30,1,720,8.18,0,1,8,51,18,0
"528.6.3",528,6,3,30,1,148,9.07,12,1,7,35,15,0
"528.6.4",528,6,4,30,1,113,8.04,12,3,8,47,29,0
"528.7.1",528,7,1,30,1,575,8.15,5,6,4,32,34,1
"528.7.2",528,7,2,30,1,720,8.18,5,2,4,42,22,0
"528.7.3",528,7,3,30,1,148,9.07,2,3,1,34,6,0
"528.7.4",528,7,4,30,1,113,8.04,9,3,8,51,5,0
"528.8.1",528,8,1,30,1,575,8.15,4,6,4,54,6,0
"528.8.2",528,8,2,30,1,720,8.18,8,5,2,34,5,0
"528.8.3",528,8,3,30,1,148,9.07,10,2,5,57,38,0
"528.8.4",528,8,4,30,1,113,8.04,10,3,8,40,28,1
"528.9.1",528,9,1,30,1,575,8.15,6,5,5,37,14,0
"528.9.2",528,9,2,30,1,720,8.18,9,6,8,54,12,1
"528.9.3",528,9,3,30,1,148,9.07,5,6,6,32,18,0
"528.9.4",528,9,4,30,1,113,8.04,0,5,2,33,23,0
"528.10.1",528,10,1,30,1,575,8.15,5,2,4,41,26,1
"528.10.2",528,10,2,30,1,720,8.18,11,1,3,41,11,0
"528.10.3",528,10,3,30,1,148,9.07,5,1,3,40,18,0
"528.10.4",528,10,4,30,1,113,8.04,0,6,9,49,37,0
"528.11.1",528,11,1,30,1,575,8.15,2,3,4,36,13,0
"528.11.2",528,11,2,30,1,720,8.18,3,3,7,42,10,0
"528.11.3",528,11,3,30,1,148,9.07,10,6,3,57,33,1
"528.11.4",528,11,4,30,1,113,8.04,0,1,9,44,25,0
"528.12.1",528,12,1,30,1,575,8.15,11,5,5,37,7,0
"528.12.2",528,12,2,30,1,720,8.18,8,3,1,43,37,1
"528.12.3",528,12,3,30,1,148,9.07,11,0,7,59,5,0
"528.12.4",528,12,4,30,1,113,8.04,2,0,2,30,38,0
"529.1.1",529,1,1,25,1,575,8.15,1,6,7,37,5,0
"529.1.2",529,1,2,25,1,720,8.18,3,2,7,35,31,1
"529.1.3",529,1,3,25,1,148,9.07,14,3,8,57,36,0
"529.1.4",529,1,4,25,1,113,8.04,2,3,3,57,17,0
"529.2.1",529,2,1,25,1,575,8.15,8,0,2,50,30,0
"529.2.2",529,2,2,25,1,720,8.18,4,3,4,42,19,0
"529.2.3",529,2,3,25,1,148,9.07,2,5,3,46,35,1
"529.2.4",529,2,4,25,1,113,8.04,12,1,5,38,17,0
"529.3.1",529,3,1,25,1,575,8.15,10,5,3,54,34,1
"529.3.2",529,3,2,25,1,720,8.18,10,2,7,42,11,0
"529.3.3",529,3,3,25,1,148,9.07,8,4,9,46,6,0
"529.3.4",529,3,4,25,1,113,8.04,3,2,2,42,8,0
"529.4.1",529,4,1,25,1,575,8.15,14,4,2,43,22,0
"529.4.2",529,4,2,25,1,720,8.18,14,3,2,37,24,0
"529.4.3",529,4,3,25,1,148,9.07,10,2,8,43,37,1
"529.4.4",529,4,4,25,1,113,8.04,10,0,8,43,6,0
"529.5.1",529,5,1,25,1,575,8.15,7,6,4,49,8,0
